period,red1,red2,red3,red4,red5,red6,blue,red_numbers,full_number,red_sum
2021033,2,12,13,14,31,33,6,2 12 13 14 31 33,2 12 13 14 31 33 + 6,105
2021034,4,10,12,18,23,25,1,4 10 12 18 23 25,4 10 12 18 23 25 + 1,92
2021035,12,14,18,20,26,28,11,12 14 18 20 26 28,12 14 18 20 26 28 + 11,118
2021036,1,2,6,11,21,26,11,1 2 6 11 21 26,1 2 6 11 21 26 + 11,67
2021037,13,17,19,24,26,30,12,13 17 19 24 26 30,13 17 19 24 26 30 + 12,129
2021038,5,7,9,16,18,27,6,5 7 9 16 18 27,5 7 9 16 18 27 + 6,82
2021039,2,8,21,24,29,31,13,2 8 21 24 29 31,2 8 21 24 29 31 + 13,115
2021040,2,6,7,24,28,29,16,2 6 7 24 28 29,2 6 7 24 28 29 + 16,96
2021041,2,9,18,23,26,32,14,2 9 18 23 26 32,2 9 18 23 26 32 + 14,110
2021042,5,9,10,22,25,27,8,5 9 10 22 25 27,5 9 10 22 25 27 + 8,98
2021043,2,3,17,18,23,24,1,2 3 17 18 23 24,2 3 17 18 23 24 + 1,87
2021044,5,7,14,17,26,28,13,5 7 14 17 26 28,5 7 14 17 26 28 + 13,97
2021045,1,4,14,15,17,32,2,1 4 14 15 17 32,1 4 14 15 17 32 + 2,83
2021046,5,9,13,21,28,33,6,5 9 13 21 28 33,5 9 13 21 28 33 + 6,109
2021047,3,7,13,16,24,29,1,3 7 13 16 24 29,3 7 13 16 24 29 + 1,92
2021048,4,15,17,22,29,32,3,4 15 17 22 29 32,4 15 17 22 29 32 + 3,119
2021049,4,11,13,22,25,32,1,4 11 13 22 25 32,4 11 13 22 25 32 + 1,107
2021050,2,9,10,16,25,28,8,2 9 10 16 25 28,2 9 10 16 25 28 + 8,90
2021051,8,9,10,19,27,29,15,8 9 10 19 27 29,8 9 10 19 27 29 + 15,102
2021052,3,4,6,19,21,30,14,3 4 6 19 21 30,3 4 6 19 21 30 + 14,83
2021053,7,10,14,16,24,33,16,7 10 14 16 24 33,7 10 14 16 24 33 + 16,104
2021054,7,13,21,22,24,31,2,7 13 21 22 24 31,7 13 21 22 24 31 + 2,118
2021055,3,11,12,16,22,28,10,3 11 12 16 22 28,3 11 12 16 22 28 + 10,92
2021056,8,21,22,23,29,32,1,8 21 22 23 29 32,8 21 22 23 29 32 + 1,135
2021057,5,6,9,17,25,33,16,5 6 9 17 25 33,5 6 9 17 25 33 + 16,95
2021058,9,11,13,18,19,28,14,9 11 13 18 19 28,9 11 13 18 19 28 + 14,98
2021059,1,9,11,18,32,33,14,1 9 11 18 32 33,1 9 11 18 32 33 + 14,104
2021060,10,11,17,20,29,30,15,10 11 17 20 29 30,10 11 17 20 29 30 + 15,117
2021061,4,9,12,18,20,23,1,4 9 12 18 20 23,4 9 12 18 20 23 + 1,86
2021062,12,13,15,20,22,25,10,12 13 15 20 22 25,12 13 15 20 22 25 + 10,107
2021063,4,5,6,9,23,24,9,4 5 6 9 23 24,4 5 6 9 23 24 + 9,71
2021064,4,6,8,15,16,18,16,4 6 8 15 16 18,4 6 8 15 16 18 + 16,67
2021065,1,4,8,19,29,33,16,1 4 8 19 29 33,1 4 8 19 29 33 + 16,94
2021066,2,6,19,26,30,33,15,2 6 19 26 30 33,2 6 19 26 30 33 + 15,116
2021067,1,11,19,23,25,29,9,1 11 19 23 25 29,1 11 19 23 25 29 + 9,108
2021068,4,14,18,24,31,32,15,4 14 18 24 31 32,4 14 18 24 31 32 + 15,123
2021069,6,11,18,20,23,26,5,6 11 18 20 23 26,6 11 18 20 23 26 + 5,104
2021070,1,5,11,15,16,29,15,1 5 11 15 16 29,1 5 11 15 16 29 + 15,77
2021071,1,7,24,31,32,33,8,1 7 24 31 32 33,1 7 24 31 32 33 + 8,128
2021072,1,9,15,16,19,21,15,1 9 15 16 19 21,1 9 15 16 19 21 + 15,81
2021073,1,6,18,22,24,25,8,1 6 18 22 24 25,1 6 18 22 24 25 + 8,96
2021074,4,5,9,14,25,27,7,4 5 9 14 25 27,4 5 9 14 25 27 + 7,84
2021075,12,15,16,21,22,29,1,12 15 16 21 22 29,12 15 16 21 22 29 + 1,115
2021076,3,9,21,23,30,32,6,3 9 21 23 30 32,3 9 21 23 30 32 + 6,118
2021077,8,15,17,25,27,30,10,8 15 17 25 27 30,8 15 17 25 27 30 + 10,122
2021078,4,6,15,26,27,31,12,4 6 15 26 27 31,4 6 15 26 27 31 + 12,109
2021079,1,3,10,24,28,29,13,1 3 10 24 28 29,1 3 10 24 28 29 + 13,95
2021080,5,8,22,23,24,29,9,5 8 22 23 24 29,5 8 22 23 24 29 + 9,111
2021081,1,3,5,18,22,23,1,1 3 5 18 22 23,1 3 5 18 22 23 + 1,72
2021082,3,6,11,13,26,32,5,3 6 11 13 26 32,3 6 11 13 26 32 + 5,91
2021083,4,9,11,25,28,33,4,4 9 11 25 28 33,4 9 11 25 28 33 + 4,110
2021084,5,7,9,11,21,28,1,5 7 9 11 21 28,5 7 9 11 21 28 + 1,81
2021085,5,6,7,11,14,20,2,5 6 7 11 14 20,5 6 7 11 14 20 + 2,63
2021086,6,8,10,14,28,29,1,6 8 10 14 28 29,6 8 10 14 28 29 + 1,95
2021087,2,13,16,19,23,24,4,2 13 16 19 23 24,2 13 16 19 23 24 + 4,97
2021088,4,12,15,16,19,26,6,4 12 15 16 19 26,4 12 15 16 19 26 + 6,92
2021089,1,2,7,13,23,24,12,1 2 7 13 23 24,1 2 7 13 23 24 + 12,70
2021090,5,6,12,14,27,28,8,5 6 12 14 27 28,5 6 12 14 27 28 + 8,92
2021091,4,6,16,24,26,33,16,4 6 16 24 26 33,4 6 16 24 26 33 + 16,109
2021092,2,7,8,10,12,31,3,2 7 8 10 12 31,2 7 8 10 12 31 + 3,70
2021093,5,11,15,23,28,33,3,5 11 15 23 28 33,5 11 15 23 28 33 + 3,115
2021094,9,11,24,25,28,33,15,9 11 24 25 28 33,9 11 24 25 28 33 + 15,130
2021095,8,12,17,24,27,28,13,8 12 17 24 27 28,8 12 17 24 27 28 + 13,116
2021096,1,7,11,14,15,26,11,1 7 11 14 15 26,1 7 11 14 15 26 + 11,74
2021097,3,11,12,13,25,28,12,3 11 12 13 25 28,3 11 12 13 25 28 + 12,92
2021098,1,10,13,18,26,32,5,1 10 13 18 26 32,1 10 13 18 26 32 + 5,100
2021099,9,11,17,18,20,27,15,9 11 17 18 20 27,9 11 17 18 20 27 + 15,102
2021100,7,9,12,13,14,29,16,7 9 12 13 14 29,7 9 12 13 14 29 + 16,84
2021101,2,4,12,22,29,31,1,2 4 12 22 29 31,2 4 12 22 29 31 + 1,100
2021102,5,9,15,24,27,30,9,5 9 15 24 27 30,5 9 15 24 27 30 + 9,110
2021103,10,13,15,25,29,30,15,10 13 15 25 29 30,10 13 15 25 29 30 + 15,122
2021104,1,7,17,20,22,28,15,1 7 17 20 22 28,1 7 17 20 22 28 + 15,95
2021105,10,14,15,22,27,32,9,10 14 15 22 27 32,10 14 15 22 27 32 + 9,120
2021106,1,4,7,14,30,31,3,1 4 7 14 30 31,1 4 7 14 30 31 + 3,87
2021107,2,3,17,19,25,30,1,2 3 17 19 25 30,2 3 17 19 25 30 + 1,96
2021108,11,15,18,24,26,32,9,11 15 18 24 26 32,11 15 18 24 26 32 + 9,126
2021109,2,3,10,17,20,26,16,2 3 10 17 20 26,2 3 10 17 20 26 + 16,78
2021110,10,13,15,24,31,32,2,10 13 15 24 31 32,10 13 15 24 31 32 + 2,125
2021111,17,20,22,23,26,28,6,17 20 22 23 26 28,17 20 22 23 26 28 + 6,136
2021112,5,6,21,25,28,33,7,5 6 21 25 28 33,5 6 21 25 28 33 + 7,118
2021113,4,7,10,22,27,30,2,4 7 10 22 27 30,4 7 10 22 27 30 + 2,100
2021114,4,6,8,14,24,27,2,4 6 8 14 24 27,4 6 8 14 24 27 + 2,83
2021115,2,10,12,15,24,27,8,2 10 12 15 24 27,2 10 12 15 24 27 + 8,90
2021116,6,14,17,18,31,33,6,6 14 17 18 31 33,6 14 17 18 31 33 + 6,119
2021117,3,5,17,21,27,33,4,3 5 17 21 27 33,3 5 17 21 27 33 + 4,106
2021118,2,6,14,18,20,31,13,2 6 14 18 20 31,2 6 14 18 20 31 + 13,91
2021119,3,9,10,11,28,29,13,3 9 10 11 28 29,3 9 10 11 28 29 + 13,90
2021120,1,7,8,12,13,18,5,1 7 8 12 13 18,1 7 8 12 13 18 + 5,59
2021121,4,5,12,16,22,30,15,4 5 12 16 22 30,4 5 12 16 22 30 + 15,89
2021122,4,5,12,15,18,28,7,4 5 12 15 18 28,4 5 12 15 18 28 + 7,82
2021123,6,14,15,19,29,31,5,6 14 15 19 29 31,6 14 15 19 29 31 + 5,114
2021124,1,3,18,22,29,32,2,1 3 18 22 29 32,1 3 18 22 29 32 + 2,105
2021125,14,19,20,23,24,31,9,14 19 20 23 24 31,14 19 20 23 24 31 + 9,131
2021126,19,20,23,27,28,31,1,19 20 23 27 28 31,19 20 23 27 28 31 + 1,148
2021127,7,15,16,20,27,29,7,7 15 16 20 27 29,7 15 16 20 27 29 + 7,114
2021128,5,17,20,21,23,33,4,5 17 20 21 23 33,5 17 20 21 23 33 + 4,119
2021129,4,15,21,27,28,29,10,4 15 21 27 28 29,4 15 21 27 28 29 + 10,124
2021130,8,9,15,24,26,30,6,8 9 15 24 26 30,8 9 15 24 26 30 + 6,112
2021131,8,11,18,19,20,24,1,8 11 18 19 20 24,8 11 18 19 20 24 + 1,100
2021132,1,4,6,14,20,28,8,1 4 6 14 20 28,1 4 6 14 20 28 + 8,73
2021133,1,3,12,19,27,31,10,1 3 12 19 27 31,1 3 12 19 27 31 + 10,93
2021134,1,2,16,19,25,31,8,1 2 16 19 25 31,1 2 16 19 25 31 + 8,94
2021135,3,10,17,19,21,31,4,3 10 17 19 21 31,3 10 17 19 21 31 + 4,101
2021136,2,6,9,15,19,28,16,2 6 9 15 19 28,2 6 9 15 19 28 + 16,79
2021137,3,7,10,14,21,24,1,3 7 10 14 21 24,3 7 10 14 21 24 + 1,79
2021138,11,14,15,16,27,32,9,11 14 15 16 27 32,11 14 15 16 27 32 + 9,115
2021139,12,14,19,23,24,27,1,12 14 19 23 24 27,12 14 19 23 24 27 + 1,119
2021140,5,10,16,26,27,33,1,5 10 16 26 27 33,5 10 16 26 27 33 + 1,117
2021141,1,14,19,23,26,30,10,1 14 19 23 26 30,1 14 19 23 26 30 + 10,113
2021142,4,7,17,19,20,24,16,4 7 17 19 20 24,4 7 17 19 20 24 + 16,91
2021143,1,9,11,13,20,29,9,1 9 11 13 20 29,1 9 11 13 20 29 + 9,83
2021144,2,5,13,15,23,26,7,2 5 13 15 23 26,2 5 13 15 23 26 + 7,84
2021145,4,7,10,14,16,26,9,4 7 10 14 16 26,4 7 10 14 16 26 + 9,77
2021146,7,9,21,22,26,32,3,7 9 21 22 26 32,7 9 21 22 26 32 + 3,117
2021147,5,10,11,13,27,28,9,5 10 11 13 27 28,5 10 11 13 27 28 + 9,94
2021148,10,12,15,17,19,20,8,10 12 15 17 19 20,10 12 15 17 19 20 + 8,93
2021149,5,10,15,18,19,32,5,5 10 15 18 19 32,5 10 15 18 19 32 + 5,99
2021150,9,14,20,21,24,26,4,9 14 20 21 24 26,9 14 20 21 24 26 + 4,114
2022001,6,13,15,17,20,21,3,6 13 15 17 20 21,6 13 15 17 20 21 + 3,92
2022002,2,12,21,23,25,31,8,2 12 21 23 25 31,2 12 21 23 25 31 + 8,114
2022003,2,5,16,17,18,30,6,2 5 16 17 18 30,2 5 16 17 18 30 + 6,88
2022004,5,19,24,28,30,32,14,5 19 24 28 30 32,5 19 24 28 30 32 + 14,138
2022005,7,10,12,16,19,31,16,7 10 12 16 19 31,7 10 12 16 19 31 + 16,95
2022006,3,6,9,15,22,31,2,3 6 9 15 22 31,3 6 9 15 22 31 + 2,86
2022007,1,20,22,23,25,28,16,1 20 22 23 25 28,1 20 22 23 25 28 + 16,119
2022008,2,3,7,9,20,21,13,2 3 7 9 20 21,2 3 7 9 20 21 + 13,62
2022009,4,15,17,19,25,28,16,4 15 17 19 25 28,4 15 17 19 25 28 + 16,108
2022010,12,18,19,20,21,32,15,12 18 19 20 21 32,12 18 19 20 21 32 + 15,122
2022011,6,15,23,24,25,33,15,6 15 23 24 25 33,6 15 23 24 25 33 + 15,126
2022012,4,7,8,29,30,31,1,4 7 8 29 30 31,4 7 8 29 30 31 + 1,109
2022013,2,3,4,7,10,18,15,2 3 4 7 10 18,2 3 4 7 10 18 + 15,44
2022014,6,7,13,14,15,27,4,6 7 13 14 15 27,6 7 13 14 15 27 + 4,82
2022015,6,14,16,27,28,31,7,6 14 16 27 28 31,6 14 16 27 28 31 + 7,122
2022016,5,10,19,20,29,31,14,5 10 19 20 29 31,5 10 19 20 29 31 + 14,114
2022017,6,9,24,29,30,32,7,6 9 24 29 30 32,6 9 24 29 30 32 + 7,130
2022018,7,11,16,17,30,32,16,7 11 16 17 30 32,7 11 16 17 30 32 + 16,113
2022019,5,6,14,20,21,25,8,5 6 14 20 21 25,5 6 14 20 21 25 + 8,91
2022020,9,11,14,22,30,32,1,9 11 14 22 30 32,9 11 14 22 30 32 + 1,118
2022021,3,7,22,24,26,31,14,3 7 22 24 26 31,3 7 22 24 26 31 + 14,113
2022022,1,7,11,15,17,19,6,1 7 11 15 17 19,1 7 11 15 17 19 + 6,70
2022023,7,12,17,19,24,25,2,7 12 17 19 24 25,7 12 17 19 24 25 + 2,104
2022024,7,9,10,14,19,24,15,7 9 10 14 19 24,7 9 10 14 19 24 + 15,83
2022025,6,19,24,25,28,32,4,6 19 24 25 28 32,6 19 24 25 28 32 + 4,134
2022026,3,4,10,15,22,24,2,3 4 10 15 22 24,3 4 10 15 22 24 + 2,78
2022027,14,15,18,19,26,32,9,14 15 18 19 26 32,14 15 18 19 26 32 + 9,124
2022028,5,11,20,22,23,29,9,5 11 20 22 23 29,5 11 20 22 23 29 + 9,110
2022029,3,8,10,13,26,32,8,3 8 10 13 26 32,3 8 10 13 26 32 + 8,92
2022030,12,23,24,26,27,30,5,12 23 24 26 27 30,12 23 24 26 27 30 + 5,142
2022031,1,10,11,22,26,32,7,1 10 11 22 26 32,1 10 11 22 26 32 + 7,102
2022032,4,10,11,14,23,32,7,4 10 11 14 23 32,4 10 11 14 23 32 + 7,94
2022033,5,12,19,22,25,26,5,5 12 19 22 25 26,5 12 19 22 25 26 + 5,109
2022034,14,17,26,31,32,33,10,14 17 26 31 32 33,14 17 26 31 32 33 + 10,153
2022035,8,12,13,19,23,25,15,8 12 13 19 23 25,8 12 13 19 23 25 + 15,100
2022036,2,3,14,16,26,31,2,2 3 14 16 26 31,2 3 14 16 26 31 + 2,92
2022037,1,10,13,20,22,32,14,1 10 13 20 22 32,1 10 13 20 22 32 + 14,98
2022038,9,12,13,16,24,32,4,9 12 13 16 24 32,9 12 13 16 24 32 + 4,106
2022039,2,6,7,10,15,20,5,2 6 7 10 15 20,2 6 7 10 15 20 + 5,60
2022040,3,12,14,16,31,33,12,3 12 14 16 31 33,3 12 14 16 31 33 + 12,109
2022041,5,7,21,22,24,29,14,5 7 21 22 24 29,5 7 21 22 24 29 + 14,108
2022042,5,10,11,21,22,30,13,5 10 11 21 22 30,5 10 11 21 22 30 + 13,99
2022043,2,17,20,23,25,27,8,2 17 20 23 25 27,2 17 20 23 25 27 + 8,114
2022044,1,7,8,21,23,29,6,1 7 8 21 23 29,1 7 8 21 23 29 + 6,89
2022045,3,12,17,18,19,28,4,3 12 17 18 19 28,3 12 17 18 19 28 + 4,97
2022046,2,11,24,25,27,30,14,2 11 24 25 27 30,2 11 24 25 27 30 + 14,119
2022047,3,7,8,14,27,30,9,3 7 8 14 27 30,3 7 8 14 27 30 + 9,89
2022048,5,7,17,20,26,31,14,5 7 17 20 26 31,5 7 17 20 26 31 + 14,106
2022049,2,4,7,18,25,26,10,2 4 7 18 25 26,2 4 7 18 25 26 + 10,82
2022050,3,5,8,14,27,33,8,3 5 8 14 27 33,3 5 8 14 27 33 + 8,90
2022051,2,5,11,17,21,33,1,2 5 11 17 21 33,2 5 11 17 21 33 + 1,89
2022052,7,24,27,29,31,32,15,7 24 27 29 31 32,7 24 27 29 31 32 + 15,150
2022053,10,14,18,23,27,33,15,10 14 18 23 27 33,10 14 18 23 27 33 + 15,125
2022054,8,12,21,27,28,33,11,8 12 21 27 28 33,8 12 21 27 28 33 + 11,129
2022055,2,4,9,26,28,33,3,2 4 9 26 28 33,2 4 9 26 28 33 + 3,102
2022056,1,6,11,14,17,26,15,1 6 11 14 17 26,1 6 11 14 17 26 + 15,75
2022057,12,15,20,26,30,33,16,12 15 20 26 30 33,12 15 20 26 30 33 + 16,136
2022058,6,13,14,23,31,33,1,6 13 14 23 31 33,6 13 14 23 31 33 + 1,120
2022059,6,9,18,19,29,33,6,6 9 18 19 29 33,6 9 18 19 29 33 + 6,114
2022060,16,18,19,24,28,32,1,16 18 19 24 28 32,16 18 19 24 28 32 + 1,137
2022061,1,3,16,18,29,33,6,1 3 16 18 29 33,1 3 16 18 29 33 + 6,100
2022062,16,18,20,21,23,33,5,16 18 20 21 23 33,16 18 20 21 23 33 + 5,131
2022063,6,8,9,17,22,31,11,6 8 9 17 22 31,6 8 9 17 22 31 + 11,93
2022064,4,6,12,13,17,31,16,4 6 12 13 17 31,4 6 12 13 17 31 + 16,83
2022065,9,14,18,23,28,31,2,9 14 18 23 28 31,9 14 18 23 28 31 + 2,123
2022066,6,11,14,20,27,30,9,6 11 14 20 27 30,6 11 14 20 27 30 + 9,108
2022067,1,5,13,21,26,29,15,1 5 13 21 26 29,1 5 13 21 26 29 + 15,95
2022068,7,12,15,24,26,29,6,7 12 15 24 26 29,7 12 15 24 26 29 + 6,113
2022069,6,7,13,19,26,29,8,6 7 13 19 26 29,6 7 13 19 26 29 + 8,100
2022070,4,6,9,27,28,33,2,4 6 9 27 28 33,4 6 9 27 28 33 + 2,107
2022071,4,7,15,18,29,33,1,4 7 15 18 29 33,4 7 15 18 29 33 + 1,106
2022072,5,14,15,16,18,32,12,5 14 15 16 18 32,5 14 15 16 18 32 + 12,100
2022073,6,10,14,15,26,29,12,6 10 14 15 26 29,6 10 14 15 26 29 + 12,100
2022074,5,7,15,19,29,33,15,5 7 15 19 29 33,5 7 15 19 29 33 + 15,108
2022075,1,2,4,25,26,30,10,1 2 4 25 26 30,1 2 4 25 26 30 + 10,88
2022076,8,9,10,13,24,29,2,8 9 10 13 24 29,8 9 10 13 24 29 + 2,93
2022077,3,17,18,19,20,27,16,3 17 18 19 20 27,3 17 18 19 20 27 + 16,104
2022078,1,4,5,15,17,31,9,1 4 5 15 17 31,1 4 5 15 17 31 + 9,73
2022079,1,9,15,17,22,23,16,1 9 15 17 22 23,1 9 15 17 22 23 + 16,87
2022080,5,12,15,17,18,27,4,5 12 15 17 18 27,5 12 15 17 18 27 + 4,94
2022081,4,8,11,21,27,30,1,4 8 11 21 27 30,4 8 11 21 27 30 + 1,101
2022082,4,10,11,23,30,32,14,4 10 11 23 30 32,4 10 11 23 30 32 + 14,110
2022083,8,12,13,14,19,20,5,8 12 13 14 19 20,8 12 13 14 19 20 + 5,86
2022084,3,18,23,24,25,32,9,3 18 23 24 25 32,3 18 23 24 25 32 + 9,125
2022085,7,9,14,31,32,33,13,7 9 14 31 32 33,7 9 14 31 32 33 + 13,126
2022086,1,4,8,21,23,24,11,1 4 8 21 23 24,1 4 8 21 23 24 + 11,81
2022087,5,6,9,13,23,25,8,5 6 9 13 23 25,5 6 9 13 23 25 + 8,81
2022088,3,9,15,17,20,22,6,3 9 15 17 20 22,3 9 15 17 20 22 + 6,86
2022089,2,7,15,29,31,33,15,2 7 15 29 31 33,2 7 15 29 31 33 + 15,117
2022090,1,4,25,27,29,30,7,1 4 25 27 29 30,1 4 25 27 29 30 + 7,116
2022091,8,18,20,22,24,28,10,8 18 20 22 24 28,8 18 20 22 24 28 + 10,120
2022092,7,10,16,20,21,27,11,7 10 16 20 21 27,7 10 16 20 21 27 + 11,101
2022093,21,22,24,28,29,32,14,21 22 24 28 29 32,21 22 24 28 29 32 + 14,156
2022094,6,11,13,16,19,31,2,6 11 13 16 19 31,6 11 13 16 19 31 + 2,96
2022095,4,13,14,18,20,28,8,4 13 14 18 20 28,4 13 14 18 20 28 + 8,97
2022096,3,16,17,19,25,33,7,3 16 17 19 25 33,3 16 17 19 25 33 + 7,113
2022097,4,5,10,13,30,31,14,4 5 10 13 30 31,4 5 10 13 30 31 + 14,93
2022098,2,3,4,6,21,33,5,2 3 4 6 21 33,2 3 4 6 21 33 + 5,69
2022099,1,11,23,24,26,32,15,1 11 23 24 26 32,1 11 23 24 26 32 + 15,117
2022100,2,6,7,15,20,21,15,2 6 7 15 20 21,2 6 7 15 20 21 + 15,71
2022101,4,16,18,19,27,28,4,4 16 18 19 27 28,4 16 18 19 27 28 + 4,112
2022102,9,10,12,18,29,32,14,9 10 12 18 29 32,9 10 12 18 29 32 + 14,110
2022103,6,9,12,14,20,28,10,6 9 12 14 20 28,6 9 12 14 20 28 + 10,89
2022104,1,8,19,25,26,31,1,1 8 19 25 26 31,1 8 19 25 26 31 + 1,110
2022105,6,12,13,15,21,23,15,6 12 13 15 21 23,6 12 13 15 21 23 + 15,90
2022106,17,20,22,23,24,31,1,17 20 22 23 24 31,17 20 22 23 24 31 + 1,137
2022107,3,9,11,15,19,28,16,3 9 11 15 19 28,3 9 11 15 19 28 + 16,85
2022108,1,7,13,17,18,31,15,1 7 13 17 18 31,1 7 13 17 18 31 + 15,87
2022109,4,11,13,19,22,33,11,4 11 13 19 22 33,4 11 13 19 22 33 + 11,102
2022110,9,13,15,18,20,28,15,9 13 15 18 20 28,9 13 15 18 20 28 + 15,103
2022111,2,10,11,13,28,31,1,2 10 11 13 28 31,2 10 11 13 28 31 + 1,95
2022112,3,5,8,17,25,31,1,3 5 8 17 25 31,3 5 8 17 25 31 + 1,89
2022113,13,14,20,24,27,29,2,13 14 20 24 27 29,13 14 20 24 27 29 + 2,127
2022114,1,5,15,19,26,29,13,1 5 15 19 26 29,1 5 15 19 26 29 + 13,95
2022115,6,7,18,20,27,29,9,6 7 18 20 27 29,6 7 18 20 27 29 + 9,107
2022116,8,14,26,27,30,33,1,8 14 26 27 30 33,8 14 26 27 30 33 + 1,138
2022117,4,13,17,18,28,29,6,4 13 17 18 28 29,4 13 17 18 28 29 + 6,109
2022118,2,6,7,11,14,33,8,2 6 7 11 14 33,2 6 7 11 14 33 + 8,73
2022119,2,5,15,18,26,27,4,2 5 15 18 26 27,2 5 15 18 26 27 + 4,93
2022120,2,15,19,26,27,29,2,2 15 19 26 27 29,2 15 19 26 27 29 + 2,118
2022121,12,17,22,27,30,31,2,12 17 22 27 30 31,12 17 22 27 30 31 + 2,139
2022122,6,8,17,19,24,28,5,6 8 17 19 24 28,6 8 17 19 24 28 + 5,102
2022123,10,13,16,20,21,25,5,10 13 16 20 21 25,10 13 16 20 21 25 + 5,105
2022124,5,10,13,18,24,26,1,5 10 13 18 24 26,5 10 13 18 24 26 + 1,96
2022125,2,3,7,12,20,31,16,2 3 7 12 20 31,2 3 7 12 20 31 + 16,75
2022126,1,13,15,17,26,33,13,1 13 15 17 26 33,1 13 15 17 26 33 + 13,105
2022127,3,4,9,10,29,33,13,3 4 9 10 29 33,3 4 9 10 29 33 + 13,88
2022128,3,12,18,24,27,29,1,3 12 18 24 27 29,3 12 18 24 27 29 + 1,113
2022129,10,12,14,22,24,27,7,10 12 14 22 24 27,10 12 14 22 24 27 + 7,109
2022130,2,8,15,17,26,28,12,2 8 15 17 26 28,2 8 15 17 26 28 + 12,96
2022131,3,5,10,13,19,29,6,3 5 10 13 19 29,3 5 10 13 19 29 + 6,79
2022132,1,3,18,26,32,33,4,1 3 18 26 32 33,1 3 18 26 32 33 + 4,113
2022133,5,8,16,17,21,25,12,5 8 16 17 21 25,5 8 16 17 21 25 + 12,92
2022134,1,5,14,17,24,31,14,1 5 14 17 24 31,1 5 14 17 24 31 + 14,92
2022135,9,11,13,24,28,32,6,9 11 13 24 28 32,9 11 13 24 28 32 + 6,117
2022136,8,10,14,15,18,22,8,8 10 14 15 18 22,8 10 14 15 18 22 + 8,87
2022137,8,21,23,27,28,33,1,8 21 23 27 28 33,8 21 23 27 28 33 + 1,140
2022138,2,14,19,21,25,28,11,2 14 19 21 25 28,2 14 19 21 25 28 + 11,109
2022139,6,7,9,16,17,19,14,6 7 9 16 17 19,6 7 9 16 17 19 + 14,74
2022140,8,9,18,19,20,27,15,8 9 18 19 20 27,8 9 18 19 20 27 + 15,101
2022141,5,12,13,17,20,27,14,5 12 13 17 20 27,5 12 13 17 20 27 + 14,94
2022142,1,3,13,16,21,27,3,1 3 13 16 21 27,1 3 13 16 21 27 + 3,81
2022143,7,8,13,29,30,33,3,7 8 13 29 30 33,7 8 13 29 30 33 + 3,120
2022144,7,20,22,23,31,32,5,7 20 22 23 31 32,7 20 22 23 31 32 + 5,135
2022145,3,21,25,30,31,33,11,3 21 25 30 31 33,3 21 25 30 31 33 + 11,143
2022146,6,7,13,18,26,31,6,6 7 13 18 26 31,6 7 13 18 26 31 + 6,101
2022147,2,3,7,13,20,30,10,2 3 7 13 20 30,2 3 7 13 20 30 + 10,75
2022148,2,15,16,17,21,31,14,2 15 16 17 21 31,2 15 16 17 21 31 + 14,102
2022149,2,22,26,29,32,33,14,2 22 26 29 32 33,2 22 26 29 32 33 + 14,144
2022150,1,7,11,12,22,28,5,1 7 11 12 22 28,1 7 11 12 22 28 + 5,81
2023001,9,16,18,22,28,32,2,9 16 18 22 28 32,9 16 18 22 28 32 + 2,125
2023002,2,6,10,16,18,22,13,2 6 10 16 18 22,2 6 10 16 18 22 + 13,74
2023003,5,8,18,25,30,32,6,5 8 18 25 30 32,5 8 18 25 30 32 + 6,118
2023004,1,7,15,16,20,25,16,1 7 15 16 20 25,1 7 15 16 20 25 + 16,84
2023005,2,6,8,13,14,19,16,2 6 8 13 14 19,2 6 8 13 14 19 + 16,62
2023006,2,10,12,14,24,26,5,2 10 12 14 24 26,2 10 12 14 24 26 + 5,88
2023007,5,6,9,22,25,31,3,5 6 9 22 25 31,5 6 9 22 25 31 + 3,98
2023008,5,13,18,20,26,28,6,5 13 18 20 26 28,5 13 18 20 26 28 + 6,110
2023009,3,4,19,23,30,32,6,3 4 19 23 30 32,3 4 19 23 30 32 + 6,111
2023010,4,5,13,18,27,29,12,4 5 13 18 27 29,4 5 13 18 27 29 + 12,96
2023011,6,7,16,17,21,22,4,6 7 16 17 21 22,6 7 16 17 21 22 + 4,89
2023012,3,4,7,22,26,30,6,3 4 7 22 26 30,3 4 7 22 26 30 + 6,92
2023013,6,10,14,22,23,33,13,6 10 14 22 23 33,6 10 14 22 23 33 + 13,108
2023014,6,7,18,23,27,30,5,6 7 18 23 27 30,6 7 18 23 27 30 + 5,111
2023015,2,3,14,21,29,32,8,2 3 14 21 29 32,2 3 14 21 29 32 + 8,101
2023016,14,16,19,23,28,30,3,14 16 19 23 28 30,14 16 19 23 28 30 + 3,130
2023017,5,11,18,20,26,28,12,5 11 18 20 26 28,5 11 18 20 26 28 + 12,108
2023018,10,12,17,19,25,31,13,10 12 17 19 25 31,10 12 17 19 25 31 + 13,114
2023019,6,12,26,28,29,32,15,6 12 26 28 29 32,6 12 26 28 29 32 + 15,133
2023020,1,12,17,18,26,27,5,1 12 17 18 26 27,1 12 17 18 26 27 + 5,101
2023021,2,5,6,19,21,27,4,2 5 6 19 21 27,2 5 6 19 21 27 + 4,80
2023022,10,11,18,19,23,31,3,10 11 18 19 23 31,10 11 18 19 23 31 + 3,112
