Word,Derivatives,English Definition
underlying,underlie; underlain; under; underlies,basic and hidden beneath something
undermine,undermined; undermining,to weaken or destroy something secretly and usually slowly
underneath,underneaths,below or beneath something; under
undertaken,undertake; undertook; undertaking; undertaker; undertakes,agreed to do or started a task
unemployed,unemployment; unemployable,being without a job; jobless
unified,unify; unification; unity; unifier; unifiable,made into a single whole
uniform,uniformity; uniformly; uniformness; uniformize,the same everywhere; special clothing
unify,unified; unifies,to join or bring together
unintelligible,unintelligence; unintelligibly; unintelligent,that cannot be understood
unique,uniqueness; uniquely; uniquer,being the only one; unlike others
unity,unities,being in full agreement; being joined together
unstable,unstableness,likely to move from its position or fall
uplift,uplifted; uplifting; uplifts,to make someone feel happier or more hopeful
upward,upwards,moving toward a higher point or position
urine,urination; urinal,yellow liquid waste from the body
usage,usages,the way something is used
utility,utilize; utilization; utilized; utilizing; utilities,"being useful; a public service such as gas, water, or electricity that is used by everyone"
utilize,utility; utilization; utilized; utilizing,to use something practically for a particular purpose
utterance,utter; utterable; uttered; uttering; utters,something that is said
vague,vagueness; vaguer,not clearly stated
valid,validity; validation; validness,sound; just; well-founded
validity,valid; validation; validness,how true something is; in statistics: the ability of a test to measure what it is intended to measure.
valve,valval; valved; valving; valveless,"a device along a pipe that can either open and allow something to flow, or close and block it"
variability,variant; variance; variation; variable; various,(statistics) degree scores depart from the mean
variables,variable; vary; variation; variability; variance,factors that can change
variance,variant; variation; variable; various; variably,(statistics) amount of difference in distributions
variant,variance; variation; variable; various; variably,thing that differs from something of the same kind
vector,vectorization; vectorized,a quantity that has both size and direction.
vegetation,vegetal; vegetational; vegetative; vegetable; vegetated,plants
vehicle,vehicular; vehicles,a means of transport; a means for carrying or expressing something
vein,veined; veining; veins,one of the little tubes that return blood from the body to the heart
velocity,velocities,speed in a given direction
verbal,verbalization; verbality; verbalist; verbalism; verbalized,"using speech, rather than being written"
version,verification; versification; verity; verist; verism,a particular form of something
vertical,verticality; vertically; vertices; vert,a line going up/down; not horizontal
via,,by way of or through
viable,viability; viably,able to be done; possible
violation,violate; violator; violative; violence; violist,an act of breaking a rule or law
virtually,virtual; virtualize; virtualization; virtuality; virtuous,almost; by computer simulation
virtue,virtually; virtual; virtueless,a good quality
visible,visibility; visibly; invisible; vision; visor,able to be seen
vision,visual; visualize; visionary; visible; visor,the ability to see; an idea of the future
visual,vision; visually; visualize; visualization; visible,relating to sight
vitamin,vitamins,a substance that is healthy for your body and can be found in foods or taken as a medicine
vocabulary,vocabularies,the words that a person knows
volition,volitional; volitive,the act of making a conscious choice
volume,voluminous; volumetric,amount of space; a book in a series; loudness
voluntary,volunteer; voluntarily; voluntaryism; voluntaries,done by choice
vowel,vowels; vowelize,"a speech sound; a, e , i, o, u and sometimes y"
watershed,watersheds,"a period of time during which important, significant changes take place"
wavelength,wavelengths,the size of a wave; a shared understanding
weave,weaver; weaved; weaving,to make something by crossing threads over and under each other
welfare,wellbeing,"health, happiness, and well-being"
wheat,wheaten,a kind of grain that is used to make flour for bread
whereas,,while; in contrast
whereby,,by which; by that thing
whichever,,whatever one
whoever,,whatever person; any person at all
widespread,spread; spreading,happening or existing in many places; affecting many people
wisdom,wise; wisely,knowledge gained from experience in life
workshop,workshops,a brief intensive course for a small group; emphasizes problem solving
yeast,yeasts,a single-celled fungi used to make bread and beer
